Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Finland,Finland,France,France,Germany,Germany,Italy,Italy,Netherlands,Netherlands,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
,"Poppy seeds, PROCESS Baking",18,3921.95,18,3921.95,18,3921.95,18,3921.95,18,3921.95,18,3921.95,18,3921.95
,Pumpkin seeds,6,1408.232,6,1408.232,6,1408.232,6,1408.232,6,2012.449,6,1408.232,6,2012.449
,"Pumpkin seeds, PROCESS Baking",2,2623.092,7,1408.007,7,1408.007,7,1408.007,7,2451.422,2,2623.092,7,2451.422
,"Pumpkin seeds, PROCESS Cooking in water",0,1184.58,0,1184.58,0,1184.58,0,1184.58,0,1184.58,0,1184.58,0,1184.58
,"Pumpkin seeds, PROCESS Steaming",0,1184.58,0,1184.58,0,1184.58,0,1184.58,0,1184.58,0,1184.58,0,1184.58
,Saffron,0,2297.43,0,2297.43,0,2297.43,0,2098.28,0,2297.43,0,2297.43,0,2297.43
,Sesame paste (tahini) (sesamus indicum),,,8.9,1713.665,8.9,1713.665,8.9,1713.665,34,1860.796,,,36,2402.012
,Sesame seeds,51,1825.87,7.7,2408.428,26.4,2228.415,7.7,2408.428,26.4,2255.636,51,1825.87,26.4,2361.94
,"Sesame seeds, PROCESS Baking",2,1685.811,14,2022.499,14,2022.499,14,2022.499,14,2022.499,2,1685.811,14,2022.499
,Soya proteins,79,2740.42,9,2896.603,9,2896.603,9,2743.183,9,2737.31,79,2740.42,32.5,2737.31
,Sunflower seeds,51.7,1922.49,57.8,1758.584,56,1960.64,,1522.83,49,1806.26,49,1922.49,49,1915.63
,"Sunflower seeds, PROCESS Baking",2.7,1916.119,51,1778.046,51,1778.046,51,1778.046,51,1963.883,0,1916.119,51,1963.883
,"Sunflower seeds, PROCESS Cooking in water",2.7,1681.005,0,1681.005,0,1681.005,0,1681.005,0,1681.005,0,1681.005,0,1681.005
,"Sunflower seeds, PROCESS Steaming",2.7,1681.005,0,1681.005,0,1681.005,0,1681.005,0,1681.005,0,1681.005,0,1681.005
,Table olives and similar-,0,159.307,0,158.46,0,158.46,0,158.46,0,159.307,0,159.307,0,158.46
,Table olives ready for consumption,1.1,393.123,2.2,146.242,0.9,139.128,2.2,156.589,1,104.353,,,1,104.31
,"Thyme, dry",,,4.6,,,,,,,,,,,
,Turmeric roots,0,3220.89,0,3220.89,0,3220.89,0,3220.89,0,3610.44,0,3220.89,0,3610.44
,Vanilla,0,1887.733,0,1887.733,0,1887.733,0,1887.733,0,1887.733,0,1887.733,0,1887.733
,Walnuts,19,1275.29,5.28,994.289,4.7,1028.657,6.18,976.96,15,1382.047,2,1067.12,6,1099.98
Meat and meat products,Bacon,6.2,331.77,9.9,473.052,9.9,473.052,9.6,336.56,8.65,387.79,6.2,331.77,8.65,483.08
,"Bacon, PROCESS Baking",5.6,319.401,13.6,459.079,13.6,459.079,13.6,459.079,13,563.25,5.6,319.401,13,563.25
,"Bacon, PROCESS Cooking in water",1.5,584.365,0.7,640.724,1.5,584.537,0.7,640.724,0.7,640.724,1.5,584.365,1.5,584.537
,"Bacon, PROCESS Frying",8.3,447.7789,0.7,642.7,14.3,283.725,0.7,642.7,14.3,283.725,8.3,447.7789,13,606.11
,"Bacon, PROCESS Steaming",1.5,584.365,0.7,640.724,1.5,584.537,0.7,640.724,0.7,640.724,1.5,584.365,1.5,584.537
,Beef kidney,183.4,546.55,183.4,546.55,183.4,546.55,178.4,499.89,165,530.75,183.4,546.55,165,530.7
,"Beef kidney, PROCESS Baking",143,513.56,208.1,595.063,150,517.432,208.1,595.063,143,513.56,143,513.56,150,517.432
,"Beef kidney, PROCESS Cooking in water",227.2,777.9899,208.1,597.096,248,564.85,208.1,597.096,248,564.85,227.2,777.9899,248,564.85
,"Beef kidney, PROCESS Frying",177.3,630.4652,,,,,,,177.3,630.4652,,,,
,"Beef kidney, PROCESS Steaming",227.2,777.9899,194,500.254,248,564.85,194,500.254,248,564.85,227.2,777.9899,248,564.85
,Beef liver,121,821.877,162,757.835,162,757.835,182,738.638,104,830.571,121,821.877,165,705.237
,"Beef liver, PROCESS Baking",117,664.35,146,688.968,146,688.968,146,688.968,117,664.35,117,664.35,146,688.968
,"Beef liver, PROCESS Cooking in water",160.3,570.194,160.3,570.194,160.3,570.194,160.3,570.194,215,579.288,160.3,570.194,215,579.288
,"Beef liver, PROCESS Frying",85,817.75,85,817.75,85,817.75,85,817.75,39,1019.85,85,817.75,85,816.69
,"Beef liver, PROCESS Steaming",160.3,570.194,160.3,570.194,160.3,570.194,160.3,570.194,215,579.288,160.3,570.194,215,579.288
,"Beerwurst, PROCESS Baking",6.8,395.439,6.8,395.439,6.8,395.439,6.8,395.439,6.8,395.439,6.8,395.439,6.8,395.439
,"Beerwurst, PROCESS Cooking in water",6.8,395.439,6.8,395.439,6.8,395.439,6.8,395.439,6.8,395.439,6.8,395.439,6.8,395.439
,"Beerwurst, PROCESS Steaming",6.8,395.439,6.8,395.439,6.8,395.439,6.8,395.439,6.8,395.439,6.8,395.439,6.8,395.439
,Blood-type sausage,6.7,538.2648,11.2,245.485,14.7,189.575,11.2,245.485,16.3,364.065,3.4,345.1448,7,343.35
,"Blood-type sausage, QUAL Low fat (naturally or reduced)",1.1,362.105,1.1,362.105,1.1,362.105,1.1,362.105,1.1,362.105,1.1,362.105,1.1,362.105
,"Bockwurst, PROCESS Baking",10.9,344.138,10.9,344.138,10.9,344.138,10.9,344.138,10.9,344.138,10.9,344.138,10.9,344.138
,"Bockwurst, PROCESS Cooking in water",10.9,344.138,10.9,344.138,10.9,344.138,10.9,344.138,10.9,344.138,10.9,344.138,10.9,344.138
,"Bockwurst, PROCESS Steaming",10.9,344.138,10.9,344.138,10.9,344.138,10.9,344.138,10.9,344.138,10.9,344.138,10.9,344.138
,"Bockwurst, QUAL Low fat (naturally or reduced), PROCESS Baking",0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982
,"Bockwurst, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982
,"Bockwurst, QUAL Low fat (naturally or reduced), PROCESS Steaming",0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982
,"Bologna-type sausage, PROCESS Baking",1.9,335.204,1.9,335.204,1.9,335.204,1.9,335.204,1.9,335.204,1.9,335.204,1.9,335.204
,"Bologna-type sausage, PROCESS Cooking in water",19.9,727.3179,9.8,415.604,9.8,415.604,9.8,415.604,8.66,584.788,19.9,727.3179,8.66,314.393
,"Bologna-type sausage, PROCESS Steaming",19.9,727.3179,9.8,415.604,9.8,415.604,9.8,415.604,8.66,584.788,19.9,727.3179,8.66,314.393
,"Bologna-type sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",8.66,387.855,8.66,387.855,8.66,387.855,8.66,387.855,8.66,387.855,8.66,387.855,8.66,387.855
,"Bologna-type sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",8.66,387.855,8.66,387.855,8.66,387.855,8.66,387.855,8.66,387.855,8.66,387.855,8.66,387.855
,"Bologna-type sausage, QUAL Low sodium / reduced salt, PROCESS Cooking in water",21.5,830.0601,21.5,830.0601,21.5,830.0601,21.5,830.0601,21.5,830.0601,21.5,830.0601,21.5,830.0601
,"Bologna-type sausage, QUAL Low sodium / reduced salt, PROCESS Steaming",21.5,830.0601,21.5,830.0601,21.5,830.0601,21.5,830.0601,21.5,830.0601,21.5,830.0601,21.5,830.0601
,Bovine and pig fresh meat,26,399.967,14.3,569.151,14.3,569.151,14.3,569.151,12.25,514.803,26,399.967,12.25,514.803
,"Bovine and pig fresh meat, PROCESS Baking",4.8,503.249,4.8,503.249,4.8,503.249,4.8,503.249,4.8,503.249,4.8,503.249,4.8,503.249
,"Bovine and pig fresh meat, PROCESS Cooking in water",5.9,553.666,5.9,553.666,5.9,553.666,5.9,553.666,5.9,553.666,5.9,553.666,5.9,553.666
,"Bovine and pig fresh meat, PROCESS Frying",21.6,657.398,21.6,657.398,21.6,657.398,21.6,657.398,19.86,1078.048,21.6,657.398,19.86,1078.048
,"Bovine and pig fresh meat, PROCESS Steaming",5.9,553.666,5.9,553.666,5.9,553.666,5.9,553.666,5.9,553.666,5.9,553.666,5.9,553.666
,"Bovine and pig fresh meat, QUAL Half fat or medium fat, PROCESS Frying",31.3,519.8928,31.3,519.8928,31.3,519.8928,31.3,519.8928,31.3,519.8928,31.3,519.8928,31.3,519.8928
,Bovine fresh meat,5.23,502.91,2,602.99,11.8,484.8,5,562.22,10.02,540.592,11.8,484.971,9,594.58
,"Bovine fresh meat, PROCESS Baking",,0.16,18,694.64,11.1,519.787,18,694.64,7.55,364.317,,0.09,14,635.126
,"Bovine fresh meat, PROCESS Cooking in water",,0.13,2,610.497,14.5,594.705,2,610.487,13,501.203,,0.07,13,501.293
,"Bovine fresh meat, PROCESS Frying",19.7,768.796,13.3,444.692,13.3,444.353,13.3,444.692,13.31,710.54,19.7,768.756,11,686.36
,"Bovine fresh meat, PROCESS Steaming",,0.13,14.5,594.775,14.5,594.705,14.5,594.705,13,501.203,,0.07,13,501.293
,Bovine heart,24,482.405,23.9,412.69,23.9,412.69,12.9,570.54,24,482.405,24,482.405,16,546.947
,"Bovine heart, PROCESS Baking",47.8,396.31,52.9,495.079,47.8,396.31,52.9,495.079,52.9,495.079,47.8,396.31,47.8,396.31
,"Bovine heart, PROCESS Cooking in water",8.9,399.427,52.9,495.079,8.9,399.427,52.9,495.079,13,508.06,8.9,399.427,13,508.06
,"Bovine heart, PROCESS Frying",8.9,396.527,8.9,396.527,8.9,396.527,8.9,396.527,8.9,396.527,8.9,396.527,8.9,396.527
,"Bovine heart, PROCESS Steaming",8.9,399.427,52.9,495.079,8.9,399.427,52.9,495.079,13,508.06,8.9,399.427,13,508.06
,Bovine marrowbone,21,27.653,21,27.653,21,27.653,30.5,379.55,21,27.653,21,27.653,21,27.653
,"Bovine meat, dried",,0.15,13,1426.841,13,1426.841,13,1426.841,1.78,1202.963,,0.15,1.78,1147.089
,"Bovine meat, dried, PROCESS Cooking in water",1.8,216.06,1.8,216.06,1.8,216.06,1.8,216.06,1.8,216.06,1.8,216.06,1.8,216.06
,"Bovine meat, dried, PROCESS Steaming",1.8,216.06,1.8,216.06,1.8,216.06,1.8,216.06,1.8,216.06,1.8,216.06,1.8,216.06
,Bovine stomach,0,133.903,0,133.903,0,133.903,0,99.183,0,133.903,0,133.903,0,133.903
,"Bovine stomach, PROCESS Baking",0,132.791,0,132.791,0,132.791,0,132.791,0,132.791,0,132.791,0,132.791
,"Bovine stomach, PROCESS Cooking in water",0,132.791,0,132.791,0,132.791,0,132.791,0,132.791,0,132.791,0,132.791
,"Bovine stomach, PROCESS Frying",0,132.791,0,132.791,0,132.791,0,132.791,0,132.791,0,132.791,0,132.791
,"Bovine stomach, PROCESS Steaming",0,132.791,0,132.791,0,132.791,0,132.791,0,132.791,0,132.791,0,132.791
,Bovine tail,2.2,591.878,2.2,591.878,2.2,591.878,2.2,591.878,3,477.18,2.2,591.878,3,477.18
,"Bovine tail, PROCESS Cooking in water",1.8,546.977,1.8,546.977,1.8,546.977,1.8,546.977,2,365.56,1.8,546.977,2,365.56
,"Bovine tail, PROCESS Frying",2.3,661.329,2.3,661.329,2.3,661.329,2.3,661.329,2.3,661.329,2.3,661.329,2.3,661.329
,"Bovine tail, PROCESS Steaming",1.8,546.977,1.8,546.977,1.8,546.977,1.8,546.977,2,365.56,1.8,546.977,2,365.56
,Bovine tongue,18.5,469.37,7,486.492,7,486.492,7,425.642,6.9,488.415,18.5,469.37,6.9,488.415
,"Bovine tongue, PROCESS Baking",6.4,426.614,6.6,352.767,6.4,426.614,6.6,352.767,6.6,352.767,6.4,426.614,6.4,426.614
,"Bovine tongue, PROCESS Cooking in water",23.9,672.4569,6.6,352.767,6.4,426.614,6.6,352.767,6.2,316.899,23.9,672.4569,6.2,316.899
,"Bovine tongue, PROCESS Frying",6.4,427.364,6.6,352.767,6.4,427.364,6.6,352.767,6.6,352.767,6.4,427.364,6.4,427.364
,"Bovine tongue, PROCESS Steaming",23.9,672.4569,6.6,352.767,6.4,426.614,6.6,352.767,6.2,316.899,23.9,672.4569,6.2,316.899
,Breakfast-type sausage,6.66,497.774,15.34,401.644,15.34,401.644,15.34,401.644,6.66,497.774,6.66,497.6,14,458.13
,"Breakfast-type sausage, PROCESS Baking",16.3,386.658,16.3,386.658,16.3,386.658,16.3,386.658,16,544.89,16.3,386.361,16,544.89
,"Breakfast-type sausage, PROCESS Cooking in water",14.9,519.3,15.1,386.658,15.1,386.658,15.1,386.658,15.1,386.658,15.1,386.361,15.1,386.658
,"Breakfast-type sausage, PROCESS Frying",7,533.9,7,533.9,7,533.9,7,533.9,7,533.9,7,533.6,7,533.9
,"Breakfast-type sausage, PROCESS Steaming",10.3,386.658,10.3,386.658,10.3,386.658,10.3,386.658,10.3,386.658,10.3,386.361,10.3,386.658
,Canned meat,20.6,577.12,12.5,300.602,12.5,300.602,7.4,379.183,7.44,270.261,20.6,577.12,7.44,270.261
,"Cervelat (swiss type), PROCESS Baking",10.9,344.138,10.9,344.138,10.9,344.138,10.9,344.138,13,417.911,10.9,344.138,13,417.911
,"Cervelat (swiss type), PROCESS Cooking in water",0.9,445.075,10.9,344.138,10.9,344.138,10.9,344.138,0.9,445.075,0.9,445.075,10.9,344.138
,"Cervelat (swiss type), PROCESS Steaming",0.9,445.075,10.9,344.138,10.9,344.138,10.9,344.138,0.9,445.075,0.9,445.075,10.9,344.138
,"Cervelat (swiss type), QUAL Low fat (naturally or reduced), PROCESS Baking",0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982
,"Cervelat (swiss type), QUAL Low fat (naturally or reduced), PROCESS Cooking in water",0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982
,"Cervelat (swiss type), QUAL Low fat (naturally or reduced), PROCESS Steaming",0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982,0.5,508.982
,Chicken fresh meat,13.3,404.037,0.373,778.704,12.4,504.424,10.373,631.14,18.2,624.876,13.3,404.037,12.2,641.57
,"Chicken fresh meat, PROCESS Baking",18.4,780.61,17.72,579.66,10.2,498.987,17.72,500.541,17.29,644.652,18.4,780.61,16.29,604.62
,"Chicken fresh meat, PROCESS Cooking in water",,,0.26,456.676,15.2,308.848,0.26,456.676,15.2,470.51,15.2,308.848,15.2,470.51
,"Chicken fresh meat, PROCESS Frying",16.6,710.7685,25.35,825.925,15.9,562.8485,25.35,782.267,18.29,814.032,,,15.29,762.49
,"Chicken fresh meat, PROCESS Steaming",,,25.35,825.025,15.2,309.278,25.35,825.025,15.3,499.808,15.3,499.808,15.2,470.51
,Chicken liver,152,811.005,154.7,521.005,154.7,521.005,154.7,521.005,164,668.473,152,811.005,164,601.393
,"Chicken liver, PROCESS Baking",120.1,489.274,132.2,688.136,120.1,489.274,132.2,688.136,132.2,688.136,120.1,489.274,120.1,489.274
,"Chicken liver, PROCESS Cooking in water",88.1,396.914,88.1,396.914,88.1,396.914,88.1,396.914,88.1,396.914,88.1,396.914,88.1,396.914
,"Chicken liver, PROCESS Frying",117.9,489.274,117.9,489.274,117.9,489.274,117.9,489.274,140,719.16,117.9,489.274,140,719.16
,"Chicken liver, PROCESS Steaming",90.3,396.914,108.2,682.525,90.3,396.914,108.2,682.525,108.2,682.525,90.3,396.914,90.3,396.914
,"Chicken, other organs (edible offal non-muscle)",87.29,405.416,105.7,518.142,105.7,518.142,105.7,518.142,87.29,405.416,87.29,405.416,94,474.51
,"Chicken, other organs (edible offal non-muscle), PROCESS Baking",117.9,486.811,117.9,486.811,117.9,486.811,117.9,486.811,117.9,486.811,117.9,486.811,117.9,486.811
,"Chicken, other organs (edible offal non-muscle), PROCESS Cooking in water",117.9,486.811,117.9,486.811,117.9,486.811,117.9,486.811,110,546.865,117.9,486.811,110,546.865
,"Chicken, other organs (edible offal non-muscle), PROCESS Steaming",117.9,486.811,117.9,486.811,117.9,486.811,117.9,486.811,110,546.865,117.9,486.811,110,546.865
,Chorizo and similar,,,19.83,812.73,26.4,551.783,19.83,812.73,25.92,622.595,11.96,510.553,25.92,613.595
,"Chorizo and similar, QUAL Low fat (naturally or reduced)",8.9,382.323,16,751.519,16,751.519,16,751.519,16,751.519,8.9,382.323,16,751.519
,Cooked bovine tongue,6.4,426.964,6.6,352.767,6.4,426.964,6.6,352.767,7.2,296.661,6.4,426.964,7.2,296.661
,"Cooked bratwurst-type sausage, PROCESS Baking",5.7,375.019,5.7,375.019,5.7,375.019,5.7,375.019,5,431.792,5.7,375.019,5,431.792
,"Cooked bratwurst-type sausage, PROCESS Cooking in water",,,10.5,375.019,10.5,375.019,10.5,375.019,10.5,375.019,,,10.5,375.019
,"Cooked bratwurst-type sausage, PROCESS Steaming",5.7,375.019,5.7,375.019,5.7,375.019,5.7,375.019,5.7,375.019,5.7,375.019,5.7,375.019
,"Cooked bratwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Baking",3.7,571.472,3.7,571.472,3.7,571.472,3.7,571.472,3.7,571.472,3.7,571.472,3.7,571.472
,"Cooked bratwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",3.7,571.472,3.7,571.472,3.7,571.472,3.7,571.472,3.7,571.472,3.7,571.472,3.7,571.472
,"Cooked bratwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",3.7,571.472,3.7,571.472,3.7,571.472,3.7,571.472,3.7,571.472,3.7,571.472,3.7,571.472
,Cooked other poultry meat,,,11,767.07,11,767.07,11,767.07,11,767.07,,,11,767.07
,Cooked pork ham,,,9.9,615.976,8.5,656.746,5.6,509.545,11.44,705.82,6.8,545.95,12,724.84
,Cooked pork tongue,15.7,516.33,12.7,484.248,12.7,484.248,12.7,484.248,15.7,516.33,15.7,516.33,12.7,484.248
,"Cooked sausages (generic), QUAL Low fat (naturally or reduced)",18.4,512.984,16.4,444.008,16.4,444.008,16.4,444.008,17.75,673.245,18.4,513.024,15.75,452.7
,"Cooked sausages (generic), QUAL Low sodium / reduced salt",9.9,426.287,9.9,425.827,9.9,425.827,9.9,425.827,9.9,425.827,9.9,425.827,9.9,425.827
,Cooked turkey meat,5.4,525.624,33.2,582.346,12.3,311.764,33.2,582.346,12.3,687.31,5.4,525.624,12.3,687.31
,"Corned beef, uncooked",,,9,320.427,9,320.427,1,201.217,,,,,9,320.427
,"Corned beef, uncooked, PROCESS Baking",1,399.899,1,399.899,1,399.899,1,399.899,1,399.899,1,399.899,1,399.899
,"Corned beef, uncooked, PROCESS Cooking in water",9,402.132,9,402.132,9,402.132,9,402.132,9.9,293.83,9,402.132,10,330.35
,"Corned beef, uncooked, PROCESS Frying",1,399.899,1,399.899,1,399.899,1,399.899,1,399.899,1,399.899,1,399.899
,"Corned beef, uncooked, PROCESS Steaming",9,402.132,9,402.132,9,402.132,9,402.132,9.9,293.83,9,402.132,10,330.35
,"Corned pork meat, cooked",10.83,656.969,10.83,656.969,10.83,656.969,10.83,656.969,10.83,656.969,10.83,656.969,10.83,656.969
,"Corned pork, uncooked, PROCESS Baking",0.4,346.748,0.4,346.748,0.4,346.748,0.4,346.748,0.4,346.748,0.4,346.748,0.4,346.748
,"Corned pork, uncooked, PROCESS Cooking in water",0.4,346.748,0.4,346.748,0.4,346.748,0.4,346.748,0.4,346.748,0.4,346.748,0.4,346.748
,"Corned pork, uncooked, PROCESS Steaming",0.4,346.748,0.4,346.748,0.4,346.748,0.4,346.748,0.4,346.748,0.4,346.748,0.4,346.748
,Cured pork fat,7.6,61.512,7.6,37.285,7.6,61.512,7.6,37.285,7.6,61.512,7.6,61.512,7.6,61.512
,Cured seasoned poultry meat,0.4,554.131,0.4,554.131,0.4,554.131,0.4,554.131,0.4,554.131,0.4,554.131,0.4,554.131
,"Cured seasoned poultry meat, PROCESS Baking",18.3,500.632,18.3,500.632,18.3,500.632,18.3,500.632,18.3,556.491,18.3,500.632,18.3,556.491
,"Cured seasoned poultry meat, PROCESS Cooking in water",0.3,500.632,0.3,500.632,0.3,500.632,0.3,500.632,0.3,500.632,0.3,500.632,0.3,500.632
,"Cured seasoned poultry meat, PROCESS Steaming",0.3,500.632,0.3,500.632,0.3,500.632,0.3,500.632,0.3,500.632,0.3,500.632,0.3,500.632
,"Deer, fallow fresh meat",10,527.553,10,527.553,10,527.553,10,809.36,10,590.773,10,527.553,10,590.773
,"Deer, fallow fresh meat, PROCESS Baking",1.2,661.623,1.2,661.623,1.2,661.623,1.2,661.623,1.2,661.623,1.2,661.623,1.2,661.623
,"Deer, fallow fresh meat, PROCESS Cooking in water",0.7,383.934,0.7,383.934,0.7,383.934,0.7,383.934,0.7,383.934,0.7,383.934,0.7,383.934
,"Deer, fallow fresh meat, PROCESS Steaming",0.7,383.934,0.7,383.934,0.7,383.934,0.7,383.934,0.7,383.934,0.7,383.934,0.7,383.934
,"Deer, red fresh meat",12.21,582.1,10,527.553,10,527.553,10,527.553,10,590.773,12.21,582.1,10,590.773
,"Deer, red fresh meat, PROCESS Baking",,,0.8,624.39,1.2,661.623,0.8,624.39,0.8,624.39,,,1.2,661.623
,"Deer, red fresh meat, PROCESS Cooking in water",,,0.7,383.934,0.7,383.934,0.7,383.934,0.7,383.934,,,0.7,383.934
,"Deer, red fresh meat, PROCESS Steaming",,,0.7,383.934,0.7,383.934,0.7,383.934,0.7,383.934,,,0.7,383.934
,Dry and fermented sausages-deprecated,16.3,562.58,21.4,800.41,18.5,510.546,21.4,832.51,21.92,476.195,18.5,510.546,19,533.24
,"Dry and fermented sausages-deprecated, QUAL Low fat (naturally or reduced)",11.92,454.275,11.92,454.275,11.92,454.275,11.92,454.275,11.92,454.275,11.92,454.275,11.92,454.275
,Duck fresh meat,36.3,513.625,39.3,725.2,36.3,513.625,27.3,531.41,39,535.823,36.3,513.625,38,342.743
,"Duck fresh meat, PROCESS Baking",,,2.2,508.831,25.3,646.822,2.2,508.831,24.49,679.972,,,25,453.138
,"Duck fresh meat, PROCESS Cooking in water",,,1.2,380.039,1.2,380.039,1.2,380.039,1.2,380.039,,,1.2,380.039
,"Duck fresh meat, PROCESS Steaming",,,1.2,380.039,1.2,380.039,1.2,380.039,1.2,380.039,,,1.2,380.039
,Duck liver,54,597.769,54,597.769,54,597.769,54,597.769,54,597.769,54,597.769,54,597.769
,"Duck liver, PROCESS Baking",115,619.86,115,619.86,115,619.86,115,619.86,115,619.86,115,619.86,115,619.86
,"Duck liver, PROCESS Frying",,392.69,,392.69,,392.69,,392.69,,392.69,,392.69,,392.69
,Equine fresh meat,6,671.5,6,671.5,6,671.5,6,613.21,6,551.68,6,671.5,6,551.68
,"Equine fresh meat, PROCESS Baking",20,652.605,9.05,602.083,13.1,806.613,9.05,602.083,20,652.605,20,652.605,13.1,806.613
,"Equine fresh meat, PROCESS Frying",2.6,583.94,2.6,583.94,2.6,583.94,2.6,583.94,2.6,583.94,2.6,583.94,2.6,583.94
,European moose meat,11.7,658.99,12.73,563.31,12.73,563.31,12.73,563.31,11.7,658.99,12.73,563.31,12.73,563.31
,"European moose meat, PROCESS Baking",12.9,944.4031,12.9,944.4031,12.9,944.4031,12.9,944.4031,12.9,944.4031,12.9,944.4031,12.9,944.4031
,"European moose meat, PROCESS Frying",12.9,945.0235,,,,,,,12.9,945.0235,,,,
,"Frankfurt-type sausage, PROCESS Baking",9.9,335.204,9.9,335.204,9.9,335.204,9.9,350.844,9,402.302,9.9,335.204,9,402.302
,"Frankfurt-type sausage, PROCESS Cooking in water",3.1,411.66,0.5,361.568,3.8,415.604,9,305.213,7.44,269.931,3.1,411.66,7.44,269.931
,"Frankfurt-type sausage, PROCESS Steaming",8.8,415.604,0.5,361.568,8.8,415.604,0.5,361.568,7.44,269.564,8.8,415.604,7.44,269.564
,"Frankfurt-type sausage, QUAL Low fat (naturally or reduced), PROCESS Baking",15.4,534.859,15.4,534.859,15.4,534.859,15.4,534.859,15.4,534.859,15.4,534.859,15.4,534.859
,"Frankfurt-type sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",22.4,534.859,22.4,534.859,22.4,534.859,22.4,534.859,21.44,308.762,22.4,534.859,21.44,308.762
,"Frankfurt-type sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",22.4,534.859,22.4,534.859,22.4,534.859,22.4,534.859,21.44,308.762,22.4,534.859,21.44,308.762
,"Frankfurter sausage, PROCESS Baking",8.3,466.5,9.1,335.204,9.1,335.204,9.1,335.204,8.3,466.5,8.3,466.5,9,402.302
,"Frankfurter sausage, PROCESS Cooking in water",10.5,374.9723,2.5,401.483,9,415.604,2.5,401.483,7.44,269.261,10.5,374.9723,7.44,269.261
,"Frankfurter sausage, PROCESS Steaming",10.5,374.9723,9,415.604,9,415.604,9,415.604,8.3,391.914,10.5,374.9723,9,415.604
,"Frankfurter sausage, QUAL Low fat (naturally or reduced), PROCESS Baking",15.4,534.859,15.4,534.859,15.4,534.859,15.4,534.859,15.4,534.859,15.4,534.859,15.4,534.859
,"Frankfurter sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",22.4,534.859,22.4,534.859,22.4,534.859,22.4,534.859,21.44,308.762,22.4,534.859,21.44,308.762
,"Frankfurter sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",15.4,534.859,15.4,534.859,15.4,534.859,15.4,534.859,15.4,534.859,15.4,534.859,15.4,534.859
,Fresh bratwurst,8.15,526.573,16.7,401.644,16.7,401.644,16.7,401.644,10.69,534.505,8.15,526.573,10.69,534.505
,"Fresh bratwurst, PROCESS Baking",10.3,386.658,10.3,386.658,10.3,386.658,10.3,386.658,10,430.612,10.3,386.658,10,430.612
,"Fresh bratwurst, PROCESS Cooking in water",10.3,386.658,10.3,386.658,10.3,386.658,10.3,386.658,10.3,386.658,10.3,386.658,10.3,386.658
,"Fresh bratwurst, PROCESS Steaming",10.3,386.658,10.3,386.658,10.3,386.658,10.3,386.658,10.3,386.658,10.3,386.658,10.3,386.658
,Fresh raw sausages,,0.38,6.88,556.995,8.3,410.99,6.88,416.155,10.69,534.335,,0.38,6,475.79
,"Fresh raw sausages, PROCESS Baking",16.3,386.658,16.3,386.658,16.3,386.658,16.3,386.658,16,544.89,16.3,386.658,16,544.89
,"Fresh raw sausages, PROCESS Cooking in water",16.9,386.658,15.88,557.678,16.9,386.658,15.88,557.678,15.88,557.678,16.9,386.658,16.9,386.658
,"Fresh raw sausages, PROCESS Frying",16.3,386.658,16.3,386.658,16.3,386.658,16.3,540.204,22.88,668.33,16.3,386.658,16,534.113
,"Fresh raw sausages, PROCESS Steaming",10.3,386.658,10.3,386.658,10.3,386.658,10.3,386.658,10.3,386.658,10.3,386.658,10.3,386.658
,Fresh smoked sausages-deprecated,11.9,519.3,6.95,536.903,7.7,420.495,6.95,536.903,6.95,536.903,7.7,420.495,7.7,420.495
,"Fresh smoked sausages-deprecated, QUAL Low fat (naturally or reduced)",15.4,840.99,15.4,840.99,15.4,840.99,15.4,840.99,15.4,840.99,15.4,840.99,15.4,840.99
