Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Finland,Finland,France,France,Germany,Germany,Italy,Italy,Netherlands,Netherlands,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
,"Safflower seed oil, edible",0,77.4,22,91.84,22,91.84,22,91.84,0,79.4,0,77.4,22,86.6
,"Sesame seed oil, edible",0,1.4,10,30.7,10,30.7,10,30.62,10,1.4,0,1.4,10,30.7
,Shortening and similar baking fats,46.2,0,16,42.336,13.8,10.22,16,42.336,13.8,105.6,39.7,0,13.8,26.78
,"Shortening and similar baking fats, QUAL Half fat or medium fat",0,93.1,0,45.7,0,93.1,0,45.7,0,93.1,0,93.1,0,93.1
,"Shortening and similar baking fats, QUAL Low fat (naturally or reduced)",,400.67,,400.67,,400.67,,400.67,,400.67,,400.67,,400.67
,"Shortening and similar baking fats, QUAL Low sodium / reduced salt",0,113.4,0,113.4,0,113.4,0,113.4,0,113.4,0,113.4,0,113.4
,"Soya bean oil, refined",145,9.61,131,15,131,10.554,131,18.6,184.9,32.41,145,9.61,132,20.17
,Spreadable vegetable fat-deprecated,,10,43,18.07,43,33.454,43,48.37,0,89.306,,10,43,77.2
,"Spreadable vegetable fat-deprecated, QUAL Half fat or medium fat",86.3,74.3728,86.1,38.84,86.2,56.954,86.1,38.84,88.5,188.426,86.3,74.3728,88.5,177.426
,"Spreadable vegetable fat-deprecated, QUAL Low fat (naturally or reduced)",86.3,68.7751,86.2,56.954,86.2,56.954,86.2,56.954,88.5,156.926,86.3,68.7751,88.5,156.926
,"Spreadable vegetable fat-deprecated, QUAL Low sodium / reduced salt",43,43.321,43,53.321,43,53.321,43,53.321,43,97.17,43,43.321,43,97.17
,"Sunflower seed oil, edible",10,62.2,16.6,61.1,8,64.327,6,68.1,7.7,76,4,59.6,8.3,49.33
,Tallow from other animals,0,18.49,0,18.49,0,18.49,0,18.49,0,18.49,0,18.49,0,18.49
,Traditional margarine,92.15,,45.2,42.406,43,33.454,45.2,57.809,0,89.306,0,12.206,43,55.123
