Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
,Multivitamin juices,,0.35,2.5,217.19
,"Multivitamin juices, FORT Combination of vitamin and mineral only supplements",3,137.948,3,137.888
,"Multivitamin juices, FORT Vitamin only supplements",2.5,143.535,2.5,217.19
,"Nectar, apple",4,68.638,4,119.607
,"Nectar, apricot",2,119.939,2,119.76
,"Nectar, banana",0,101.593,0,101.593
,"Nectar, mango",1,72.909,1,119.712
,"Nectar, orange",0,149.53,1,119.607
,"Nectar, peach",2,96.089,2,119.8
,"Nectar, pear",4,69.557,4,119.555
,"Nectar, pineapple",1,74.533,1,119.6
,Vegetable juice concentrate,24,349.485,24,349.485
Grains and grain-based products,Amaranth flour,1,1317.461,1,1317.461
,Apple strudel,4.14,240.611,4.14,240.611
,Asian-style noodles other than glass noodles,20,52.663,20,538.89
,"Asian-style noodles other than glass noodles, PROCESS Cooking in water",1,18.719,1,124.31
,"Asian-style noodles other than glass noodles, PROCESS Steaming",1,19.719,1,69.31
,Baklava,11.2,517.234,11.2,237.057
,Barley flour,9.6,788.28,2,1058.58
,"Barley grain, pearled",9.6,576.18,2,576.457
,"Barley grain, pearled, PROCESS Cooking in water",2.2,146.4062,2.2,195.637
,"Barley grain, pearled, PROCESS Steaming",2.2,146.4062,2.2,195.637
,Barley porridge,0.17,315.52,0.17,315.52
,"Barley porridge, INGRED Cow milk, skimmed (low fat)",0.17,315.52,0.17,315.52
,"Barley porridge, INGRED Cow milk, whole",3.4,358.8516,3.4,358.8516
,"Barley porridge, INGRED Tap water",1.3,116.0504,1.3,116.0404
,Barley rolled grains,9.6,598.82,2,766.89
,Beignets,7.6,200.735,7.6,200.735
,"Biscuit with inclusions, filling or coating",1.2,281.7229,11,326.48
,"Biscuits, chocolate",,,8.2,566.26
,"Biscuits, oat meal",,,26.4,553.45
,"Biscuits, sweet, plain",6.38,264.2235,8.3,271.67
,"Biscuits, sweet, plain, FORT Combination of vitamin and mineral only supplements",8.04,1288.65,8.04,1288.65
,"Biscuits, sweet, plain, FORT Vitamin only supplements",6.04,549.53,6.04,549.53
,"Biscuits, sweet, wheat wholemeal",14.65,362.124,10,385.58
,Bread and rolls with special ingredients added,6.9,417.809,4,451.42
,"Bread and rolls with special ingredients added, FORT Protein and amino acids supplements",0.1,490.824,0.1,490.824
,Bread stuffing,2.3,353.76,2.3,353.76
,Breadcrumbs,7.5,373.46,5,466.79
,Brioche type products,6.4,338.677,,
,Buckwheat flour,27,456.93,16,491.53
,Buckwheat groats,5,989.25,9,458.017
,Buns,3,381.685,3.3,458.99
,Butter biscuits,4.71,218.31,3.05,263.685
,"Cake marbled, with chocolate",,,6.1,497.258
,Cereal bars mixed,,,18.2,828.63
,Cereal bars plain,,,16,1033.239
,Cereal bran,0,3693.524,2,2994.51
,Cereals and cereal-like grains not separately listed,30,858.377,30,858.377
,Chapatti flour,3,461.84,3,461.84
,Cheese cake,1.5,658.244,5.5,228.69
,Chocolate cake,16.37,399.427,5.6,430.547
,Chocolate cake with fruits,5,258.894,5.3,375.375
,Choux pastry doughs,6.6,188.875,6.6,216.142
,"Choux pastry doughs, PROCESS Baking",8.6,189.575,9,331.172
,Common millet and similar-,17,586.421,3,716.49
,"Common millet and similar-, PROCESS Cooking in water",0.8,236.042,1,244.996
,"Common millet and similar-, PROCESS Steaming",0.8,236.042,1,244.996
,Common wheat grain,4.1,814.75,5,307.21
,Corn chips,13.4,642.583,3.18,707
,Corn curls,1.1,529.192,3,348.126
,Corn semolina based thick soup,,,0,20.488
,Cornmeal porridge,,,0,156.348
,"Cornmeal porridge, INGRED Cow milk, whole",3.3,391.2405,3.3,391.2405
,"Cornmeal porridge, INGRED Tap water",0,156.348,0,156.348
,Couscous,7.7,284.907,0,410.03
,"Couscous, PROCESS Cooking in water",0.58,76.9616,0,97.557
,"Couscous, PROCESS Steaming",0.58,76.9616,0,97.557
,Crackers and breadsticks,3.62,443.44,6,372.9
,Cream cake,2.2,308.8654,6.4,249.79
,Cream cheese cake,4.5,256.915,4.5,228.69
,Cream custard cake,10.42,238.406,10.42,321.87
,Cream-cheese strudel,4.5,322.995,4.5,322.995
,"Crisp bread, rye wholemeal",5.51,985.85,8,966.35
,"Crisp bread, rye, refined flour",6.6,1042.795,11.6,1006.076
,"Crisp bread, wheat, refined flour",,,2,655.45
,"Crisp bread, wheat, wholemeal",17.4,798.298,2,1053.43
,Croissant,5.7,327.698,8,319.6
,Croissant from puff pastry,,,22,319.6
,"Croissant, filled with chocolate",7.3,529.798,7.07,348.697
,"Croissant, filled with cream",,157.59,,157.59
,"Croissant, filled with jam",,135.41,,135.41
,Croquembouche,19.01,264.71,19.01,264.71
,Croutons,,,4,275.687
,Doughnuts-berliner,27.21,486.7926,,
,Dried egg pasta,,0.43,0,446.477
,"Dried egg pasta, PROCESS Baking",0,157.941,0,157.911
,"Dried egg pasta, PROCESS Cooking in water",15.6,136.902,15.76,184.024
,"Dried egg pasta, PROCESS Steaming",0,136.902,0,184.024
,"Dumpling, sweet",2.3,290.467,2.3,290.467
,Durum wheat grain,5,867.248,5,311.92
,"Durum wheat grain, PROCESS Baking",0,290.964,0,290.964
,"Durum wheat grain, PROCESS Cooking in water",1.6,290.988,1.6,290.988
,"Durum wheat grain, PROCESS Steaming",1.6,290.988,1.6,290.988
,�clair,6.6,256.332,7,392.09
,"Extruded, pressed or puffed bread",7.49,735.711,,329.26
,Flan tart,6.2,210.972,6,160.45
,Flour mix (like wheat/rye/barley/oats and other),9.5,494.76,9.5,494.76
,Fresh egg pasta,,0.35,24,338.637
,"Fresh egg pasta, PROCESS Baking",0,157.901,0,157.911
,"Fresh egg pasta, PROCESS Cooking in water",,0.05,13,195.27
,"Fresh egg pasta, PROCESS Steaming",,0.05,13,195.27
,Fruit cake,1.97,418.165,5.3,654.28
,Fruit pie-tarts,7.1,224.506,7.08,260.21
,Gingerbread,5,1031.968,2.4,295.46
,"Gingerbread dough, PROCESS Baking",2.4,292.94,2.4,292.94
,"Gluten free bread, brown",,,1,759.79
,"Gluten free bread, white",,,0,483.833
,Gnocchi,,,2.1,242.872
,"Gnocchi, PROCESS Baking",2.1,225.742,2.1,225.742
,"Gnocchi, PROCESS Cooking in water",7.1,197.485,7.1,197.485
,"Gnocchi, PROCESS Steaming",2.1,213.654,2.1,213.654
,Gougere,13.7,409.186,13.81,300.108
,Graham flour,1.1,840.802,6.76,835.91
,Indian rice grain,2,1076.446,2,1076.446
,"Indian rice grain, PROCESS Cooking in water",0.8,223.226,1.8,365.056
,"Indian rice grain, PROCESS Steaming",0.8,223.226,1.8,365.056
,Ingredient rich fine dough without yeast,3.5,272.017,3.5,272.017
,"Ingredient rich fine dough without yeast, PROCESS Baking",7.5,272.017,7.5,272.017
,Kringles,9.1,440.698,9.1,379.93
,Laminated doughs,3,126.943,3,198.657
,"Laminated doughs, PROCESS Baking",3,126.433,3,126.433
,Leavened bread doughs-deprecated,2.2,285.333,2.2,285.333
,"Leavened bread doughs-deprecated, PROCESS Baking",,,31,341.83
,"Leavened bread doughs-deprecated, PROCESS Cooking in water",1.2,217.967,1.2,217.967
,"Leavened bread doughs-deprecated, PROCESS Steaming",0,428.977,0,428.977
,Lebkuchen,18,586.091,18.4,526.435
,Macaroons,18.71,454.797,2,680.95
,Maize flour,8,175.305,3.2,540.323
,Maize semolina,0,181.592,0,181.592
,"Maize semolina, PROCESS Baking",15,196.761,15,196.761
,"Maize semolina, PROCESS Cooking in water",15,196.809,15,196.809
,"Maize semolina, PROCESS Steaming",15,196.809,15,196.809
,Maize starch,0,36.383,0,56.933
,Marzipan pie,9.41,470.689,4.3,425.32
,Matzo,0,307.76,0,307.76
,Meringue,3.66,143.9721,4.1,134.28
,Meringue tart,0.94,180.786,2.14,156.47
,Millet flour,3,585.023,3,832.297
,Millet groats,3,947.18,3,947.18
,Millet rolled grains,1,947.18,1,947.18
,Miscellaneous mixed and processed breakfast cereals-deprecated,16,877.647,16.9,683.43
,Mixed breakfast cereals,10.2,666.0385,10.8,878.442
,Mixed cereal rolled grains,,,0,767.94
,Mixed cereal-based snacks,9.46,361.225,5.683,517.05
,Muesli plain,6,700.9929,4,938
,Muffins,,,7.5,635.996
,Multigrain (not only rye-wheat) bread and rolls,7.1,516.2362,9,484.697
,"Noodle, rice",15.1,217.838,15.1,66.683
,"Noodle, rice, PROCESS Cooking in water",5.8,85.6598,5.8,85.6598
,"Noodle, rice, PROCESS Steaming",5.8,85.6598,5.8,85.6598
,Nut cream cake,,,5.5,546.661
,Oat bran,1,1616.84,1,857.86
,Oat flour,12.6,1033.58,12.6,873.508
,Oat groats,10,910.287,10,930.917
,Oat high-bran flakes,0,883.243,0,883.243
,Oat porridge,6.1,136.3973,8,905
,"Oat porridge, INGRED Cow milk, skimmed (low fat)",3.5,427.9851,3.5,428.0051
,"Oat porridge, INGRED Cow milk, whole",8.5,419.6843,6.9,500.09
,"Oat porridge, INGRED Tap water",17.1,134.5683,17,115.081
,Oat rolled grains,1,1025.827,3,929.217
,"Oat rolled grains, instant",3,858.144,3,906.577
,Pancakes,4.2,327.746,4.8,397.91
,Pasta flavoured and/or/coloured-deprecated,82.8,294.0223,82.8,449.687
,Pasta wholemeal,8.1,688.25,16,889.54
,"Pasta wholemeal, PROCESS Baking",0,324.291,0,324.421
,"Pasta wholemeal, PROCESS Cooking in water",6,324.363,6,309.89
,"Pasta wholemeal, PROCESS Steaming",6,309.76,6,309.89
,Pasta with egg-deprecated,,0.3,,0.3
,"Pasta, gluten free",2.4,581.14,2.4,125.378
,"Pasta, gluten free, PROCESS Cooking in water",,,0,20.414
,"Pasta, gluten free, PROCESS Steaming",,,0,20.997
,"Pasta, simple-deprecated",7.7,473.92,17,532.74
,"Pasta, simple-deprecated, PROCESS Baking",0,140.847,0,140.897
,"Pasta, simple-deprecated, PROCESS Cooking in water",1.8,167.81,5,92.5
,"Pasta, simple-deprecated, PROCESS Steaming",1,140.89,1,159.236
,Pita bread,1.38,315.3785,2,444.783
,"Pizza base, cooked",4.42,,3,185.794
,"Popcorn (maize, popped)",1,612.3256,1,487.386
,Popcorn kernels,5,471.867,5.37,621.2
,Popped cereals,15.2,263.9172,4.9,892.48
,Pretzels,,,1,335.743
,Processed and mixed breakfast cereals,13.1,882.934,13.1,882.934
,Processed barley-based flakes,1,821.07,1,439.87
,Processed maize-based flakes,4.65,133.04,5.9,183.63
,Processed mixed cereal-based flakes,69.6,369.8009,113,858.2
,Processed oat-based flakes,8.6,926.068,7.7,952.9
,Processed rice-based flakes,2.49,217.163,2.7,652.13
,Processed rye-based flakes,2.8,891.033,2,1088.783
,Processed wheat-based flakes,21.9,955.3262,16.7,2517.04
,Profiterole,5.3,392.21,5.3,392.21
,Pumpernickel,1,888.4138,1,545.95
,Pyramid cake,7,310.128,7,310.128
,Rice and similar-,,0.32,,0.32
,Rice chips,,,8,285.207
,Rice flour,15,286.51,3,424.12
,"Rice grain, brown",13.6,622.868,10,692.92
,"Rice grain, brown, PROCESS Baking",0,89.018,0,89.028
,"Rice grain, brown, PROCESS Cooking in water",5.33,236.1072,4,269.936
,"Rice grain, brown, PROCESS Steaming",5.33,236.1072,4,269.936
,"Rice grain, long-grain",3,600.72,14,392.1
,"Rice grain, long-grain, PROCESS Cooking in water",4.66,78.064,5,139.62
,"Rice grain, long-grain, PROCESS Steaming",4.66,78.064,5,139.62
,"Rice grain, mixed",3.2,730.22,11,667.01
,"Rice grain, mixed, PROCESS Cooking in water",9.2,262.0216,4,270.83
,"Rice grain, mixed, PROCESS Steaming",9.2,262.0216,9.2,88.995
,"Rice grain, parboiled",7,573.77,14,391.81
,"Rice grain, parboiled, PROCESS Cooking in water",5,103.491,5,139.888
,"Rice grain, parboiled, PROCESS Steaming",5,103.491,5,139.888
,"Rice grain, polished",3,448.3,11,233.78
,Rice porridge,2.3,297.12,2.29,353.168
,"Rice porridge, INGRED Cow milk, skimmed (low fat)",4.6,341.4432,4.6,341.4432
,"Rice porridge, INGRED Cow milk, whole",5.7,353.2822,2.29,352.607
,Rice rolled grains,1,265.625,1,265.625
,Rice starch,0,58.363,0,58.363
,"Rice, popped",13.2,259.3812,10,785.7
,"Rusk, refined flour",9.32,388.86,10,890.4
,"Rusk, wholemeal",9.48,708.808,2,1221.07
,Rye bran,2.8,2014.92,2.8,2014.92
,"Rye bread, refined flour",,,5.83,487.61
,"Rye bread, wholemeal",0.69,620.94,3,522.191
,"Rye flour, light",1,371.494,1,436.278
,"Rye flour, medium",1,566.43,0,999.49
,"Rye flour, wholemeal",2.8,1012.45,3,905.29
,Rye groats,2.8,1116.077,2.8,923.225
,Rye porridge,0.4,127.0412,0.4,127.0412
,"Rye porridge, INGRED Cow milk, whole",2.8,381.4978,2.8,381.4978
,"Rye porridge, INGRED Tap water",0.4,108.4423,0.4,108.4323
,Rye rolled grains,2,995.858,2,1088.783
,Rye starch,1,186.88,1,186.88
,"Rye-wheat bread, refined flour",1,371.88,3,403.885
,"Rye-wheat bread, wholemeal",2.63,302.0786,6,533.31
,Scones and similar,2.3,878.94,2.3,878.94
,Short pastry dough and similar,11.7,242.4744,4.2,267.4
,"Short pastry dough and similar, PROCESS Baking",1.1,193.091,1.1,309.72
,Sorghum flour,1,831.867,1,831.867
,Speculaas,6.2,369.466,6,308.775
,Spelt flour,23.5,297.392,23.5,297.392
,"Spelt flour, wholemeal",0,830.114,0,830.114
,Spelt grain,0,1016.835,0,1016.835
,"Spelt grain, PROCESS Baking",0,290.889,0,290.889
,"Spelt grain, PROCESS Cooking in water",0,290.988,0,290.988
,"Spelt grain, PROCESS Steaming",0,290.988,0,290.988
,Spelt rolled grains,0,1117.167,0,1016.835
,Spice cakes,5.4,202.6872,8.65,146.696
,Sponge cake,8.9,264.955,13,423.923
,"Sponge cake dough (g�noise), PROCESS Baking",16,265.467,15.71,282.666
,"Sponge cake dough (g�noise), PROCESS Steaming",6,265.467,6,265.467
,Sponge cake roll,9.29,250.369,10.1,394.28
,"Sticks, salty",1.1,346.76,5,346.06
,Sweet almond pastry mass,3.16,922.987,3.16,922.987
,"Sweet almond pastry mass, PROCESS Baking",2.2,660.93,2.2,660.93
,Tortilla,6.2,419.4309,2,330.267
,Tortilla chips,0.5,558.08,3,707
,"Unleavened doughs, PROCESS Baking",5.2,193.477,5,445.364
,Waffles,7.4,358.636,8,863.05
,Wheat bran,11.5,3070.37,12.4,3058.27
,Wheat bran rolled flakes,8.1,1102.5107,13.1,869.541
,"Wheat bread and rolls, brown or wholemeal",4,,6,613.04
,"Wheat bread and rolls, white (refined flour)",1.54,303.27,0,345.43
,"Wheat bread and rolls, white with maize",,,5,330.765
,Wheat flour white,7.7,284.56,2,427.14
,"Wheat flour, brown",9.5,691.69,4,703.38
,"Wheat flour, durum",7,1134.513,5,286.91
,Wheat germ,9.5,2456.71,3,2389.23
,Wheat germs rolled flakes,21.12,1010.715,4.12,2459.15
,Wheat groats,7,1135.213,7,762.912
,Wheat rolled grains,0,867.106,0,867.106
,Wheat semolina,7.7,284.93,1,335.163
,"Wheat semolina porridge, INGRED Cow milk, whole",4.3,325.8394,2.28,327.179
,"Wheat semolina porridge, INGRED Tap water",16,109.7115,16,36.584
,"Wheat semolina, PROCESS Cooking in water",0,59.886,,51
,"Wheat semolina, PROCESS Steaming",0,119.886,,119
,Wheat starch,0,40.227,0,40.227
,Wheat wholemeal flour,9.5,911.42,6,835.91
,"Wheat, popped",3.78,377.85,3.1,924.32
,Yeast leavened sweet doughs,0,279.137,0,279.137
,"Yeast leavened sweet doughs, PROCESS Baking",3,279.275,3.4,479.29
Human milk,Human milk,1.14,91.543,0.04,
"Legumes, nuts, oilseeds and spices",Allspice fruit,5,1953.16,5,1953.16
,Almonds sweet,2,1778.215,2,1878.79
,"Almonds sweet, PROCESS Baking",2,1836.485,4,1899.545
,"Almonds sweet, PROCESS Cooking in water",0,1248.813,0,1248.813
,"Almonds sweet, PROCESS Steaming",0,1248.813,0,1248.813
,Anise seed,5,2748.527,5,2748.527
,Azuki beans (dry),0,2017.541,2,1832.146
,"Azuki beans (dry), PROCESS Baking",0,2256.925,0,2256.925
,"Azuki beans (dry), PROCESS Cooking in water",1,724.562,1,856.65
,"Azuki beans (dry), PROCESS Steaming",1,724.562,1,856.65
,Beans (dry) and similar-,178.8,2027.045,16,2048.357
,"Beans (dry) and similar-, PROCESS Baking",0,671.718,0,671.718
,"Beans (dry) and similar-, PROCESS Cooking in water",6,671.718,6,638.815
,"Beans (dry) and similar-, PROCESS Steaming",6,671.718,6,638.815
,Beans (fresh seeds without pods) and similar-,0,524.462,0,493.61
,"Beans (fresh seeds without pods) and similar-, PROCESS Cooking in water",2.7,460.5955,2.7,333
,"Beans (fresh seeds without pods) and similar-, PROCESS Steaming",2.7,460.5955,2.7,333
,Bitter almonds,4,1828.087,2,2072.117
,Borage seeds,0,675.1,0,675.1
,Borlotti or other common beans (dry),178.8,2279.831,9,269.18
,"Borlotti or other common beans (dry), PROCESS Baking",0,671.718,0,671.718
,"Borlotti or other common beans (dry), PROCESS Cooking in water",4.7,615.152,2,276.225
,"Borlotti or other common beans (dry), PROCESS Steaming",4.7,615.152,2,276.225
,Broad beans (dry),2.5,118.487,2.5,1987.62
,"Broad beans (dry), PROCESS Baking",0,671.718,0,671.598
,"Broad beans (dry), PROCESS Cooking in water",1.8,671.718,1.8,333
,"Broad beans (dry), PROCESS Steaming",1.8,671.718,1.8,333
,Broad beans (without pods),1,524.462,1,493.61
,"Broad beans (without pods), PROCESS Cooking in water",3,305.64,3,333
,"Broad beans (without pods), PROCESS Steaming",3,305.64,3,333
,Canned or jarred chickpea,211,971.476,1,153.994
,Canned or jarred common beans,78.2,523.2195,6,516.22
,Canned or jarred lentils,7.8,373.701,7.8,373.701
,Canned or jarred peas,1,256.332,31.4,266.06
,Capers buds,,,1,127.26
,Caraway fruit,5.2,3102.017,5.2,3118.087
,Cardamom fruit,0,1757.797,0,1757.797
,Cashew nuts,11,1380.92,29,1595.387
,"Cashew nuts, PROCESS Baking",2,1384.313,0,1548.723
,"Cashew nuts, PROCESS Cooking in water",0,1274.76,0,1274.76
,"Cashew nuts, PROCESS Steaming",0,1515.458,0,1515.458
,Cassia buds,0,1616.217,0,1616.217
,Chestnut puree (castanea vulgaris),10.2,526.938,10.2,526.938
,Chestnuts,0,1143.48,0,657.7
,"Chestnuts, PROCESS Baking",2,764.427,1.2,767.142
,"Chestnuts, PROCESS Cooking in water",2.2,710.974,2.2,710.974
,"Chestnuts, PROCESS Steaming",0,710.974,0,710.974
,Chickpea flour,2,1402.358,2,1660.56
,Chickpeas (dry),266,1400.497,2,1618.29
,"Chickpeas (dry), PROCESS Baking",0,5.77,0,5.77
,"Chickpeas (dry), PROCESS Cooking in water",13.7,374.642,1,442.79
,"Chickpeas (dry), PROCESS Steaming",5,561.992,1,442.79
,Cinnamon bark and similar-,3.1,1571.36,15,1889.763
,Cloves buds,0,2211.487,0,2211.487
,Coconut milk (cocos nucifera) liquid,,,3,369.56
,Coconuts,1,530.92,1,522.85
,"Coconuts, PROCESS Drying (dehydration)",1,869.693,12,941.48
,Coriander seed,26.2,2739.829,26.2,2679.05
,Cumin seed,5.2,3313.697,5.2,3313.697
,Dill seed,0,3278.58,0,3278.58
,Fennel seed,0,3797.151,0,3793.2
,Fenugreek seed,0,1480.243,0,1332.203
,Garden peas (dry),83.1,1652.65,3,1488.14
,"Garden peas (dry), PROCESS Cooking in water",,,1,440.001
,"Garden peas (dry), PROCESS Steaming",,,1,440.001
,Ginger roots,,,38.5,411.28
,Hazelnuts,13,1282.35,13,1367.79
,"Hazelnuts, PROCESS Baking",3,1137.328,14,1392.969
,"Hazelnuts, PROCESS Cooking in water",10,1134.733,10,1134.733
,"Hazelnuts, PROCESS Steaming",10,1134.733,10,1134.733
,Juniper berry,0,3102.017,0,3102.017
,Kidney bean (dry seeds),16,2246.071,16,2048.061
,"Kidney bean (dry seeds), PROCESS Baking",0,2256.746,0,2256.746
,"Kidney bean (dry seeds), PROCESS Cooking in water",7.9,462.65,6,638.448
,"Kidney bean (dry seeds), PROCESS Steaming",6,724.562,6,638.448
,Lentils (dry),0,569.617,22,1494.877
,"Lentils (dry), PROCESS Cooking in water",9.9,597.353,8,503.657
,"Lentils (dry), PROCESS Steaming",9.9,597.353,8,503.657
,Lentils (without pods),,,32.5,1471.167
,"Lentils (without pods), PROCESS Cooking in water",12,464.324,12,464.324
,"Lentils (without pods), PROCESS Steaming",12,464.324,12,464.324
,Lima beans (without pods),0,345.56,0,2312.26
,"Lima beans (without pods), PROCESS Cooking in water",0,319.401,0,549.03
,"Lima beans (without pods), PROCESS Steaming",0,319.401,0,549.03
,Linseeds,2,1790.36,4,1844.64
,Liquorice roots,0,510.335,0,3179.47
,Macadamias,,,7,655.54
,Mace aril,0,1010.277,0,1002.247
,Mung beans (dry),178.8,1567.195,146,1510.703
,"Mung beans (dry), PROCESS Cooking in water",0.7,456.527,90,435.756
,"Mung beans (dry), PROCESS Steaming",0.7,456.527,90,435.756
,Mustard seeds and similar-,0,2381.13,0,2381.13
,Navy beans (dry seeds),12,2030.934,12,1847.36
,"Navy beans (dry seeds), PROCESS Cooking in water",4,745.212,4,556.112
,"Navy beans (dry seeds), PROCESS Steaming",4,745.212,4,556.112
,Nutmeg seed,1.6,938.083,1.6,929.307
,"Olives, processed",1.12,241.151,2,195.125
,Paprika powder,4,3138.9,4,3109.1
,Peanut butter,2,1286.837,3,1276.03
,Peanuts,3,1301.11,3,1408.24
,"Peanuts, PROCESS Baking",3,1681.325,3,1418.6
,"Peanuts, PROCESS Cooking in water",0,1020.586,0,1020.586
,"Peanuts, PROCESS Steaming",0,1020.586,0,1020.586
,Peas (without pods) and similar-,1,351.973,37,523.64
,"Peas (without pods) and similar-, PROCESS Baking",39,473.715,39,473.715
,"Peas (without pods) and similar-, PROCESS Cooking in water",0.3,182.581,24,414.46
,"Peas (without pods) and similar-, PROCESS Steaming",38,426.881,38,414.46
,Pecans,10,859.76,13,1040.46
,"Peppercorn (black, green and white) and similar-",3.1,2097.818,3,2067.397
,"Peppers, dried",0,2630.497,0,2630.497
,Pine nut kernels and similar-,2,1483.205,2,1747.517
,"Pine nut kernels and similar-, PROCESS Baking",2,1406.68,2,1412.93
,"Pine nut kernels and similar-, PROCESS Cooking in water",0,1425.566,0,1425.566
,"Pine nut kernels and similar-, PROCESS Steaming",0,1425.566,0,1425.566
,Pistachios,,,63.7,1838.11
,"Pistachios, PROCESS Baking",2,1903.31,6,1716.72
,"Pistachios, PROCESS Cooking in water",54,1514.24,54,1514.24
,"Pistachios, PROCESS Steaming",54,1514.24,54,1514.24
,Poppy seeds,18,3355.808,18,3482.733
,"Poppy seeds, PROCESS Baking",18,3921.95,18,3921.95
,Pumpkin seeds,6,1408.232,6,2012.449
,"Pumpkin seeds, PROCESS Baking",2,2623.092,7,2451.422
,"Pumpkin seeds, PROCESS Cooking in water",0,1184.58,0,1184.58
,"Pumpkin seeds, PROCESS Steaming",0,1184.58,0,1184.58
,Saffron,0,2297.43,0,2297.43
,Sesame paste (tahini) (sesamus indicum),,,36,2402.012
,Sesame seeds,51,1825.87,26.4,2361.94
,"Sesame seeds, PROCESS Baking",2,1685.811,14,2022.499
,Soya proteins,79,2740.42,32.5,2737.31
,Sunflower seeds,49,1922.49,49,1915.63
,"Sunflower seeds, PROCESS Baking",0,1916.119,51,1963.883
,"Sunflower seeds, PROCESS Cooking in water",0,1681.005,0,1681.005
,"Sunflower seeds, PROCESS Steaming",0,1681.005,0,1681.005
,Table olives and similar-,0,159.307,0,158.46
,Table olives ready for consumption,,,1,104.31
,"Thyme, dry",,,,
,Turmeric roots,0,3220.89,0,3610.44
,Vanilla,0,1887.733,0,1887.733
,Walnuts,2,1067.12,6,1099.98
Meat and meat products,Bacon,6.2,331.77,8.65,483.08
,"Bacon, PROCESS Baking",5.6,319.401,13,563.25
,"Bacon, PROCESS Cooking in water",1.5,584.365,1.5,584.537
,"Bacon, PROCESS Frying",8.3,447.7789,13,606.11
,"Bacon, PROCESS Steaming",1.5,584.365,1.5,584.537
,Beef kidney,183.4,546.55,165,530.7
,"Beef kidney, PROCESS Baking",143,513.56,150,517.432
,"Beef kidney, PROCESS Cooking in water",227.2,777.9899,248,564.85
,"Beef kidney, PROCESS Frying",,,,
,"Beef kidney, PROCESS Steaming",227.2,777.9899,248,564.85
,Beef liver,121,821.877,165,705.237
,"Beef liver, PROCESS Baking",117,664.35,146,688.968
,"Beef liver, PROCESS Cooking in water",160.3,570.194,215,579.288
,"Beef liver, PROCESS Frying",85,817.75,85,816.69
,"Beef liver, PROCESS Steaming",160.3,570.194,215,579.288
,"Beerwurst, PROCESS Baking",6.8,395.439,6.8,395.439
,"Beerwurst, PROCESS Cooking in water",6.8,395.439,6.8,395.439
,"Beerwurst, PROCESS Steaming",6.8,395.439,6.8,395.439
,Blood-type sausage,3.4,345.1448,7,343.35
,"Blood-type sausage, QUAL Low fat (naturally or reduced)",1.1,362.105,1.1,362.105
,"Bockwurst, PROCESS Baking",10.9,344.138,10.9,344.138
,"Bockwurst, PROCESS Cooking in water",10.9,344.138,10.9,344.138
,"Bockwurst, PROCESS Steaming",10.9,344.138,10.9,344.138
,"Bockwurst, QUAL Low fat (naturally or reduced), PROCESS Baking",0.5,508.982,0.5,508.982
,"Bockwurst, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",0.5,508.982,0.5,508.982
,"Bockwurst, QUAL Low fat (naturally or reduced), PROCESS Steaming",0.5,508.982,0.5,508.982
,"Bologna-type sausage, PROCESS Baking",1.9,335.204,1.9,335.204
,"Bologna-type sausage, PROCESS Cooking in water",19.9,727.3179,8.66,314.393
,"Bologna-type sausage, PROCESS Steaming",19.9,727.3179,8.66,314.393
,"Bologna-type sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",8.66,387.855,8.66,387.855
,"Bologna-type sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",8.66,387.855,8.66,387.855
,"Bologna-type sausage, QUAL Low sodium / reduced salt, PROCESS Cooking in water",21.5,830.0601,21.5,830.0601
,"Bologna-type sausage, QUAL Low sodium / reduced salt, PROCESS Steaming",21.5,830.0601,21.5,830.0601
,Bovine and pig fresh meat,26,399.967,12.25,514.803
,"Bovine and pig fresh meat, PROCESS Baking",4.8,503.249,4.8,503.249
,"Bovine and pig fresh meat, PROCESS Cooking in water",5.9,553.666,5.9,553.666
,"Bovine and pig fresh meat, PROCESS Frying",21.6,657.398,19.86,1078.048
,"Bovine and pig fresh meat, PROCESS Steaming",5.9,553.666,5.9,553.666
,"Bovine and pig fresh meat, QUAL Half fat or medium fat, PROCESS Frying",31.3,519.8928,31.3,519.8928
,Bovine fresh meat,11.8,484.971,9,594.58
,"Bovine fresh meat, PROCESS Baking",,0.09,14,635.126
,"Bovine fresh meat, PROCESS Cooking in water",,0.07,13,501.293
,"Bovine fresh meat, PROCESS Frying",19.7,768.756,11,686.36
,"Bovine fresh meat, PROCESS Steaming",,0.07,13,501.293
,Bovine heart,24,482.405,16,546.947
,"Bovine heart, PROCESS Baking",47.8,396.31,47.8,396.31
,"Bovine heart, PROCESS Cooking in water",8.9,399.427,13,508.06
,"Bovine heart, PROCESS Frying",8.9,396.527,8.9,396.527
,"Bovine heart, PROCESS Steaming",8.9,399.427,13,508.06
,Bovine marrowbone,21,27.653,21,27.653
,"Bovine meat, dried",,0.15,1.78,1147.089
,"Bovine meat, dried, PROCESS Cooking in water",1.8,216.06,1.8,216.06
