Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
,Mixed vegetables soup,19.4,242.3616,19,162.56
,"Mixed vegetables, boiled",0.4,311.35,26,241.354
,"Mixed vegetables, braised",25.7,398.225,25.7,398.225
,"Mixed vegetables, fried",26.5,511.2847,26.6,325.765
,"Mixed vegetables, grilled",,,26.4,418.513
,Moussaka,,,8.8,476.78
,Mushroom based dishes,37.9,409.942,19.1,464.956
,Mushroom salad,31.7,366.0603,10.8,445.097
,Mushroom soup,1.48,190.9395,2,121.765
,Omelette with bacon,20.6,437.617,20.6,437.617
,Omelette with mushrooms,23.7,494.462,23.7,494.462
,Omelette with vegetables,,,15.9,359.96
,"Omelette, plain",35.7,405.2683,22.2,362.73
,Onion soup,0,40.7355,0,145.19
,Paella,18.2,259.3741,13.5,227.653
,Pasta based dishes (cooked),15.6,314.1915,15.3,424.697
,"Pasta based dishes (cooked), PROCESS Baking",,,5.28,461.59
,"Pasta based dishes (cooked), PROCESS Cooking in water",,354.5,,354.5
,"Pasta based dishes (cooked), PROCESS Steaming",,354.5,,354.5
,"Pasta-based dishes, uncooked",0,565.63,0,565.63
,"Pasta-based dishes, uncooked, PROCESS Baking",1.6,130.065,1.6,130.065
,"Pasta-based dishes, uncooked, PROCESS Cooking in water",1.29,611.12,3.21,354.08
,"Pasta-based dishes, uncooked, PROCESS Steaming",1.29,611.12,3.21,354.5
,"Pasta, cooked, with cheese/cream",3.8,654.631,3.8,654.631
,"Pasta, cooked, with vegetables",,,8.2,175.345
,"Pasta, cooked, with vegetables and cheese/cream",1,166.982,1,166.982
,"Pasta, filled with meat mix, cooked",0,565.63,0,565.63
,"Pasta, filled with meat mix, cooked, PROCESS Baking",1.6,130.065,1.6,130.065
,"Pasta, filled with meat mix, cooked, PROCESS Cooking in water",1.3,215.7749,3.21,325.044
,"Pasta, filled with meat mix, cooked, PROCESS Steaming",3.6,130.112,3.21,325.044
,"Pasta, filled with vegetable mix, cooked",0,481.045,0,481.045
,"Pasta, filled with vegetable mix, cooked, PROCESS Cooking in water",,,2.21,354.5
,"Pasta, filled with vegetable mix, cooked, PROCESS Steaming",2.21,354.5,2.21,354.5
,Pastas and rice (or other cereal) �based dishes,1.3,172.859,1.3,172.859
,"Pastas and rice (or other cereal) �based dishes, PROCESS Baking",,436.39,,436.39
,"Pastas and rice (or other cereal) �based dishes, PROCESS Cooking in water",,156.38,,156.38
,"Pastas and rice (or other cereal) �based dishes, PROCESS Steaming",,342.27,,342.27
,Pizza and similar with cheese topping,,,7.2,644.2
,"Pizza and similar with cheese, and mushrooms",,,6.08,449.365
,"Pizza and similar with cheese, and vegetables",,,6.08,577.99
,"Pizza and similar with cheese, meat, and mushrooms",,,5.13,378.377
,"Pizza and similar with cheese, meat, and vegetables",6.29,564.68,6.5,688.59
,"Pizza and similar with meat, and vegetables",5.29,492.497,5.13,378.377
,Poached eggs,21.5,405.387,21,407.74
,Pork meat loaf,22.4,696.027,22.4,696.027
,Potato casserole,6.5,648.3817,4,411.884
,Potato croquettes,8.24,474.9828,4,476.326
,Potato soup,2.4,361.762,2.2,241.7
,Potatoes and cheese meal,,,5.6,443.93
,Potatoes and meat meal,2.2,497.7295,4.4,324.699
,Potatoes and vegetables meal,9.4,241.4726,11.4,453.656
,"Potatoes, meat, and vegetables meal",1.4,439.2126,5.6,388.089
,Prepared fish salad,,3,41.78,462.306
,Prepared legume (beans) salad,,0.3,22,327.86
,Prepared meat salad,,,9.37,373.534
,Prepared mixed egg/meat/fish/vegetable salad,,,32.2,294.502
,Prepared nut salad,14.3,343.7322,14,416.35
,Prepared pasta salad,,,11.4,207.663
,Prepared potato salad,6.6,555.0419,7.3,262.144
,Prepared rice salad,19.5,368.3856,10,215.986
,Quiche,23.3,488.466,24.5,697.98
,Ratatouille,,,10,348.299
,Rice and meat meal,,,10.3,341.89
,Rice and vegetables meal,,,16,407.76
,"Rice based dishes cooked, PROCESS Baking",,337.75,,337.75
,"Rice based dishes cooked, PROCESS Cooking in water",,,4,330.66
,"Rice based dishes cooked, PROCESS Steaming",,,3.54,163.538
,Rice pudding,,,2.2,317.94
,"Rice, meat, and vegetables meal",,,6.16,160.251
,Risotto,3.8,125.8614,3.7,377.678
,Roesti,,,2.27,349.212
,Sandwich and sandwich-like dishes,9.5,304.42,9.5,304.42
,Sandwich with cheese and vegetable topping/filling,11.6,411.3332,12.4,1126.927
,Sandwich with cheese topping/filling,8.72,850.4749,10.7,662.99
,Sandwich with fish and vegetable topping/filling,32.27,420.172,30.6,592.415
,Sandwich with fish topping/filling,,,38.4,395.86
,Sandwich with meat and vegetable topping/filling,29.5,401.9386,12.2,388.18
,Sandwich with processed meat topping/filling,12.9,360.9251,11.2,444.35
,Sausage roll,7.8,319.945,7.8,319.945
,Seafood salad,,,58,427.23
,Seafood-based meals,14.51,355.017,25.7,537.848
,Spring rolls,,,17.17,231.59
,Tomato soup,0.2,170.0782,3,237.77
,Vegetable casserole,26.4,574.3737,21,411.71
,Vegetable souffl�,83.7,455.468,83.7,455.468
,"Vegetables, gratinated",,,85.4,453.712
Eggs and egg products,Boiled eggs,54.32,392.56,21.1,407.73
,Duck eggs,5.4,534.33,5.4,479.14
,"Duck eggs, PROCESS Cooking in water",4.3,396.489,4.3,396.489
,Eggs from other eggs producer birds,89.6,433.58,89.6,433.56
,"Eggs from other eggs producer birds, PROCESS Cooking in water",4.1,481.179,4.1,481.179
,Geese eggs,5.1,505.215,5.1,507.185
,"Geese eggs, PROCESS Cooking in water",4.1,481.179,4.1,481.179
,Hen egg mixed whole,53.9,399.37,18.77,455.489
,"Hen egg mixed whole, dried",92.55,1622.516,53.2,1803.18
,Hen egg white,20.1,171.43,6.1,203.103
,"Hen egg white, dried",49.18,1407.317,50,1658.9
,Hen egg yolk,143.48,811.72,27.77,784.298
,"Hen egg yolk, dried",5.33,1485.321,6.2,1731.833
,Hen eggs,57.4,419.6,13.78,407.87
,"Hen eggs, PROCESS Cooking in water",36.2,419.77,21,407.74
,"Hen eggs, PROCESS Frying",27.7,436.6135,13.6,470.31
,Quail eggs,35.5,420.84,35.8,464.285
,"Quail eggs, PROCESS Cooking in water",10.5,406.744,10.5,406.744
"Fish, seafood, amphibians, reptiles and invertebrates",Amphibians and Reptiles,14.1,505.09,14.1,505.09
,Anchovies,68,402.96,20.6,664.547
,"Anchovies, PROCESS Baking",0.6,708.376,0.6,708.376
,"Anchovies, PROCESS Cooking in water",20,423.627,20.6,688.331
,"Anchovies, PROCESS Frying",0.6,709.979,0.6,709.979
,"Anchovies, PROCESS Steaming",0.6,688.331,0.6,688.331
,Anglerfish and monkfish,39,511.565,39,665.55
,"Anglerfish and monkfish, PROCESS Baking",2.1,534.246,2.1,960.565
,"Anglerfish and monkfish, PROCESS Cooking in water",2.1,532.863,2.1,532.863
,"Anglerfish and monkfish, PROCESS Frying",2.1,532.863,2.1,532.863
,"Anglerfish and monkfish, PROCESS Steaming",2.1,532.863,2.1,532.863
,Atlantic salmon,,0.08,30,673.05
,"Atlantic salmon, PROCESS Baking",35.2,688.747,36,803.93
,"Atlantic salmon, PROCESS Cooking in water",31.9,658.928,32,727.678
,"Atlantic salmon, PROCESS Curing",31,568.6,,
,"Atlantic salmon, PROCESS Frying",32,751.4801,32.5,689.555
,"Atlantic salmon, PROCESS Preserving with salt",30,685.89,29.6,657.019
,"Atlantic salmon, PROCESS Steaming",31.9,658.928,32,727.678
,"Atlantic salmon, PROD Farmed / cultivated / aquaculture",,,,
,"Atlantic salmon, STATE Primal cuts / fillets / halves or quarters",,,,
,Barracudas,2,508.383,2,508.383
,"Barracudas, PROCESS Baking",11.6,706.798,11.6,706.798
,"Barracudas, PROCESS Cooking in water",11.5,701.712,11.5,701.712
,"Barracudas, PROCESS Frying",11.6,706.798,11.6,706.798
,"Barracudas, PROCESS Steaming",11.5,701.712,11.5,701.712
,Bogue,,442,,442
,"Bream, silver",2,573.19,2,573.19
,Canned/jarred fish in brine-deprecated,,,83,456.7
,"Canned/jarred fish in brine-deprecated, RACSOURCE Atlantic salmon",,,,
,Canned/jarred fish in oil-deprecated,47,865.22,96,531.69
,"Canned/jarred fish in vinegar, pickles or sauces-deprecated",70.2,566.088,39,618.73
,Canned/jarred smoked fish in oil-deprecated,42.9,612.089,42.9,612.089
,Carps,4.5,783.695,4.5,783.695
,"Carps, PROCESS Baking",24.8,828.883,24.8,828.883
,"Carps, PROCESS Cooking in water",4.5,799.08,4.5,799.08
,"Carps, PROCESS Frying",4.7,847.196,4.7,847.196
,"Carps, PROCESS Steaming",4.5,799.08,4.5,799.08
,Catfishes (freshwater),,,59.5,516.56
,"Catfishes (freshwater), PROCESS Baking",,,2.3,714.02
,"Catfishes (freshwater), PROCESS Cooking in water",,,3,625.85
,"Catfishes (freshwater), PROCESS Frying",,,2.3,714.02
,"Catfishes (freshwater), PROCESS Steaming",,,3,625.85
,Clams,2,595.468,2,595.468
,"Clams, cockles, arkshells",52.8,551.611,52.8,634.91
,"Clams, cockles, arkshells, PROCESS Baking",8.7,585.318,8.7,585.318
,"Clams, cockles, arkshells, PROCESS Cooking in water",51,550.983,65,435.72
,"Clams, cockles, arkshells, PROCESS Frying",8.7,585.318,8.7,585.318
,"Clams, cockles, arkshells, PROCESS Steaming",50.6,510.167,65,435.72
,"Clams, PROCESS Baking",8.7,585.318,8.7,585.318
,"Clams, PROCESS Cooking in water",59.8,549.383,59.8,549.383
,"Clams, PROCESS Frying",8.7,585.318,8.7,585.318
,"Clams, PROCESS Steaming",7.6,508.7,7.6,508.7
,Cockles,41,346.1,41,346.1
,"Cockles, PROCESS Cooking in water",90,421.48,90,421.48
,"Cockles, PROCESS Steaming",90,421.48,90,421.48
,Cod,28,556.353,29,558.53
,Cod liver,73.5,278.75,73.5,254.9
,Cod roe,17.7,804.176,11,513.367
,"Cod roe, PROCESS Smoking",53.2,770.164,,0.74
,"Cod, atlantic",,,,
,"Cod, murray",29.81,584.19,29.81,584.19
,"Cod, murray, PROCESS Cooking in water",0,3.67,0,3.67
,"Cod, murray, PROCESS Frying",,1.07,,1.07
,"Cod, murray, PROCESS Steaming",0,3.67,0,3.67
,"Cod, PROCESS Boiling",,100,53.2,329.048
,"Cod, PROCESS Drying (dehydration)",,100,,100
,"Cod, PROCESS Preserving with salt",,,,
,"Cod, STATE Slices, steaks or other flat cuts",,,,
,"Cods, hakes, haddocks",,0.1,,0.09
,"Cods, hakes, haddocks, PROCESS Baking",35.3,628.625,36,584.78
,"Cods, hakes, haddocks, PROCESS Cooking in water",31.2,597.823,32,638.18
,"Cods, hakes, haddocks, PROCESS Frying",38.3,628.761,39,533.693
,"Cods, hakes, haddocks, PROCESS Steaming",31.2,597.823,32,638.18
,Conger,1,674.382,1,674.382
,"Conger, european",1,674.782,3,619.48
,"Conger, european, PROCESS Baking",1.1,708.977,4,739.9
,"Conger, european, PROCESS Cooking in water",31.1,698.259,34,501.869
,"Conger, european, PROCESS Frying",1.1,707.494,1.1,707.494
,"Conger, european, PROCESS Steaming",31.1,698.259,34,501.869
,"Conger, PROCESS Baking",1.1,707.494,1.1,707.494
,"Conger, PROCESS Cooking in water",31.1,698.259,34,501.869
,"Conger, PROCESS Frying",1.1,707.494,1.1,707.494
,"Conger, PROCESS Steaming",31.1,698.259,34,501.869
,"Crabmeat, cooked-deprecated",12.29,269.28,84,535.46
,"Crabs, sea-spiders",82,567.7,82.8,664.925
,"Crabs, sea-spiders, PROCESS Baking",0.9,711.522,0.9,712.349
,"Crabs, sea-spiders, PROCESS Cooking in water",50,379.49,84.8,784.087
,"Crabs, sea-spiders, PROCESS Frying",0.8,693.911,0.8,694.741
,"Crabs, sea-spiders, PROCESS Steaming",50,379.49,84.8,784.087
,Cuttlefishes,67,681.4,67,681.4
,"Cuttlefishes, PROCESS Cooking in water",2,1,2,1
,"Cuttlefishes, PROCESS Frying",2,481.2,2,481.2
,"Cuttlefishes, PROCESS Steaming",2,1,2,1
,Diadromous fish,3.9,666.943,3.9,666.943
,"Diadromous fish, PROCESS Baking",4.2,688.953,4.2,688.953
,"Diadromous fish, PROCESS Cooking in water",3.9,659.121,3.9,659.121
,"Diadromous fish, PROCESS Frying",4.2,689.555,4.2,689.555
,"Diadromous fish, PROCESS Steaming",3.9,659.121,3.9,659.121
,Dories,72,574.12,72,574.12
,Dried fish,,,159,694.709
,"Dried fish, PROCESS Baking",1.3,730.467,1.3,730.467
,"Dried fish, PROCESS Cooking in water",1.3,730.467,1.3,730.467
,"Dried fish, PROCESS Steaming",1.3,730.467,1.3,730.467
,Drums,,679.3,,679.3
,Fish paste or surimi,20.6,385.826,20.6,933.71
,"Flat-fishes, dried",0.8,617.546,3.6,1073.299
,"Flat-fishes, dried, PROCESS Baking",1.3,730.467,1.3,730.467
,"Flat-fishes, dried, PROCESS Cooking in water",1.3,730.467,1.3,730.467
,"Flat-fishes, dried, PROCESS Steaming",1.3,730.467,1.3,730.467
,Flounders,25,538.54,27,548.79
,"Flounders, PROCESS Baking",1.1,572.227,1.1,572.227
,"Flounders, PROCESS Cooking in water",33.1,572.246,33,628.515
,"Flounders, PROCESS Frying",31,611.2088,31.1,572.227
,"Flounders, PROCESS Steaming",33.1,572.246,33,628.515
,Freshwater bream - Europe,30,659.64,25.6,564.947
,Freshwater crabs,,545.25,,545.25
,Freshwater crayfishes,52,274.65,72,566.73
,"Freshwater crayfishes, cooked-deprecated",64.8,341.811,132,556.841
,"Freshwater crayfishes, PROCESS Baking",2.9,595.755,2.9,595.755
,"Freshwater crayfishes, PROCESS Cooking in water",132.7,570.965,132,556.45
,"Freshwater crayfishes, PROCESS Frying",50.5,564.246,52.9,595.755
,"Freshwater crayfishes, PROCESS Steaming",132.6,519.471,132,556.45
,Freshwater crustaceans,46.3,663.862,46.3,663.862
,"Freshwater crustaceans, PROCESS Baking",0.9,711.894,0.9,711.894
,"Freshwater crustaceans, PROCESS Cooking in water",0.8,693.911,0.8,693.911
,"Freshwater crustaceans, PROCESS Frying",0.9,711.894,0.9,711.894
,"Freshwater crustaceans, PROCESS Steaming",0.8,624.81,0.8,624.81
,Freshwater fish,25,523.75,33,668.014
,"Freshwater fish, PROCESS Baking",17.4,700.839,17.4,700.839
,"Freshwater fish, PROCESS Cooking in water",,,14,670.774
,"Freshwater fish, PROCESS Frying",14.5,714.315,14.5,714.315
,"Freshwater fish, PROCESS Steaming",,,17,670.774
,Freshwater shrimps or prawns,30,771.78,30,771.78
,"Freshwater shrimps or prawns, PROCESS Cooking in water",47.85,474.51,47.85,474.51
,Frogs (legs),14.1,507.79,14.1,507.79
,Garfish,33.6,615.517,33.6,615.597
,Hakes,,,26.02,502.693
,"Hakes, PROCESS Baking",,,,626.04
,"Hakes, PROCESS Cooking in water",26.5,448.978,26.5,448.978
,"Hakes, PROCESS Steaming",26.5,448.978,26.5,448.978
,Halibut,37.46,665.737,37.5,676.543
,"Halibut, PROCESS Baking",1.1,733.679,1,806.65
,"Halibut, PROCESS Cooking in water",1,700.405,1,841.33
,"Halibut, PROCESS Frying",1.1,733.562,1.1,733.562
,"Halibut, PROCESS Steaming",1,700.405,1,841.33
,Herring roe,18,675.795,6,1330.075
,"Herring, atlantic",43.5,686.446,48,653.11
,"Herring, atlantic, PROCESS Baking",55,711.253,61,873.088
,"Herring, atlantic, PROCESS Cooking in water",8.5,685.548,8.5,685.548
,"Herring, atlantic, PROCESS Frying",55,710.836,55,710.836
,"Herring, atlantic, PROCESS Pickling",35.2,629.333,28.1,90.383
,"Herring, atlantic, PROCESS Steaming",8.5,685.548,8.5,685.548
,Herrings,30.4,623.97,48,653.11
,"Herrings, PROCESS Baking",55,711.253,61,873.088
